lampung,indo
selamat tukuk nyo kabar ?,selamat pagi apa kabar ?
selamat dawah nyo kabar ?,selamat siang apa kabar ?
selamat debei nyo kabar ?,selamat sore apa kabar ?
selamat debingei nyo kabar ?,selamat malam apa kabar ?
selamat tinggal,selamat tinggal
"sikam wawai way gaweh, terimo kasih","saya baik-baik saja , terima kasih"
nyo kabar kabar sekam ?,hallo bagaimana kabar anda ?
ikam munih kabar wawai,saya juga baik-baik saja
terimo kasih jamo-jamo,terima kasih sama-sama
ah mak nyo nyo,ah tidak apa-apa
terimo kasih nayah,terima kasih banyak
tabik-tabik mahap ikam kilui mahap,permisi maaf saya minta maaf
terimo  kasih kak megegh,terima kasih sudah datang
dapek der ikam ngelulih-lulih ?,boleh saya bertanya ?
selamat yu,selamat ya
gelagh ikam toni,nama saya toni
sijo pak tono,ini pak tono
sijo mak ani,ini ibu ani
sijo mulei ana,ini nona ana
senang ikam tunggo jamo sekam,senang bertemu dengan anda
poh ram kuwuk,ayo silahkan masuk
mejeng pai,silahkan duduk
nyo sekam ago nginum ?,apakah anda ingin minum ?
terimo kasih kak megegh dijo,terima kasih sudah berkunjung ke sini
terimo kasih kak singgah,terima kasih sudah mampir
terimo kasih kak ngundang ikam,terima kasih sudah mengundang saya
semugo berhasil,semoga berhasil
selamat perei,selamat berlibur
selamat besenang-senang,selamat bersenang-senang
nak en gham tungguk kupok,sampai jumpa
nak en debei ram setungguan kupek,sampai jumpa nanti sore
nak en gham setuggukan kupek,sampai jumpa lagi
dapek der ikam nulung sekam,bolehkah saya menolongmu
"terimo kasih , sekam wawai temen","terima kasih , anda baik sekali"
pak mak siwek-siwek,tidak usah repot-repot
dang siwek-siwek,jangan repot-repot
mak nyo-nyo,"""tidak apa-apa"""
dikedo pek mu tinggal ?,"""anda tinggal dimana ? """
ikam tinggal dijo,saya tinggal dekat sini
ikam  tinggal jawoh jak jo,saya tinggal cukup jauh dari sini
ikam tinggal di blambangan umpu,saya tinggal di blambangan umpu
pigho panas sekam tinggal dijjo ?,berapa hari anda tinggal disini ?
kenalken sijo warei ku gelaghno tono,perkenalkan ini teman saya namanya tono
kenalken gelaghku ani,kenalkan nama saya ani
nyo ram kak ngenal der  selakwakno ?,apakah kita sudah kenal sebelumnya ?
gelaghku ku ali,nama saya ali
gelaghku keluarga ku burhan,nama keluarga saya burhan
gelaghku depan ku ali,nama depan saya ali
gelagh belakang ku nuhdin,nama belakang saya nuhdin
gelaghku titjang ku ali nuhdin,nama lengkap saya ali nuhdin
gelaghku tengah ku imran,nama tengah saya imran
ikam makko gelagh tengah,saya tidak mempunyai nama tengah
jamo-jamoku nyuwak  ikam ali,teman-teman memanggil saya ali
unyen ulun nyuwak ikam abang,orang-orang biasa memanggil saya abang
pusekam dapek nyuwak ikam ali,anda bisa memanggil saya ali
ijo majeu ikam gelaghno julaeha,ini istri saya julaeha
ijo mengian ku ali,ini suami saya ali
ijo nanda ku muhammad ilham,ini anak saya muhammad ilham
ijo anak muliku gelaghno rahma,ini putri saya namanya rahma
sapa geragh pusikam ?,siapakah nama anda ?
nyo gelagh depan sekam ?,apa nama depan anda ?
nyo gelagh belakang sekam ?,apa nama belakang anda ?
nyo gelagh titjang sekam ?,siapa nama lengkap anda ?
gelagh tijang ku ali nuhdin,nama lengkap saya ali nuhdin
mahap sapo gelagh sekam ?,maaf siapakah nama anda ?
asal sekam jak kedo ?,anda berasal dari mana ?
asalku lampung,saya berasal dari lampung
sikam dilaherke di kedo ?,dimana anda dilahirkan ?
sikam laher di way kanan,saya lahir di way kanan
sikam dilaherke di way kanan,saya dilahirkan di way kanan
kedo sako sekam laher ?,kapan anda lahir ?
sikam laher tanggal piatu belas mei 1982,saya lahir tanggal tujuh belas mei 1982
tanggal pigho sekam laher ?,tanggal berapa anda lahir ?
sikam laher tanggal pitau belas,saya lahir tanggal tujuh belas
bulan nyo sekam laher ?,bulan apa anda lahir ?
sikam laher bulan mei,saya lahir bulan mei
tahun pigho sekam lahir ?,tahun berapa anda lahir ?
ikam lahir tahun 1982,saya lahir tahun 1982
sikam wat nanda pigho ?,anda punya anak berapa ?
sikam wat nanda wuo,saya punya dua orang anak
nyo sekam kak adew meniakah atawa mejong di pelaminan ?,apakah anda sudah menikah atau duduk di pelaminan ?
makwat ikam lagi meranai,belum saya masih bujangan
yu sikam kak adew menikah,ya saya sudah menikah
yu sikam kak radu menikah tapi cerai,ya saya sudah menikah tapi cerai
ikam ragah balu,saya duda
ikam bubbai balu,saya janda
metei wat pigho warey ?,berapa orang saudara yang anda punya ?
sikam wat sai warei ragah tuho jamo adik sai mulei,saya punya satu kakak laki-laki dan satu adik perempuan
nyo sekam wat sekelik di lampung ?,apakah anda punya keluarga di lampung ?
makwat sikam mak ko sekelik dijo,tidak saya tidak punya keluarga di sini
yu sikam wat sekelik dijo,ya saya punya keluarga di sini
sanak sikam bekeluarga jamo jimo lampung,anak saya menikahi orang lampung
sanak sikam betunangan jama jimo dijo,anak saya bertunangan dengan orang sini
sikam mak ngerti,saya tidak mengerti
sikam mak pandai bebalah bahaso lampung,saya tidak bisa berbicara bahasa lampung
sikam samo sekali mak pandai bebalah lampung,saya tidak tahu sama sekali bahasa lampung
tulung bebalah sai  alun,tolong bicaranya lebih pelan
dapok sai lebih alus bebalahno,bisa lebih pelan bicaranya
sikam pagun mak ngerti,saya masih tidak mengerti
tulung ualangei kupek,tolong ulangi lagi
tulung ulangei sekalei lagi,tolong ulangi sekali lagi
nyou sekam ngertei,apa kamu mengerti ?
ya sikam ngertei,ya saya mengerti
gat ikam mak ngertei,tidak saya tidak mengerti
bahaso lappung no barang ijo gelagh?,bahasa lampungnya benda ini apa ?
barang nyo ijo?,benda apa ini ?
ino garpeu,itu garpu
ikam mak ngertei hal ijo,saya tidak mengerti hal ini
dapek degh sekam nulung ikam?,dapatkah kamu menolong saya ?
ikam mak ngertei sai pun,saya tidak mengerti apapun
ikam mak ngertei segalo no,saya tidak mengerti semuanya
ikam ago belajagh bahaso lappung,saya ingin belajar bahasa lampung
terimo kasih kak ghadeu nulung ikam belajagh bahaso lappung,terima kasih sudah menolong saya belajar bahasa lampung
ikam belajagh bahaso lappung disekulah,saya belajar bahasa lampung di sekolah
ikam belajagh bahaso lappung dinuwo,saya belajar bahasa lampung di rumah
ikam belajagh bahaso lappung jamo serundo,saya belajar bahasa lampung dengan teman
ikam belajar bahaso lappung unggal panas,saya belajar bahasa lampung setiap hari
geh keddo balah kalimat ijo?,bagaimana mengucapkan kata ini ?
geh keddo caro bebalah no?,bagaimanakah cara mengucapkannya ?
ikam mak pandai caro no bebalah dilem bahaso lappung,saya tidak tahu cara mengucapkannya dalam bahasa lampung
nyo kah ikam kak adeu balah sitemen?,apakah saya sudah bicara dengan betul ?
nyo kah arti anajk bahaso ijo?,apakah arti dari kata ini ?
nyo kah artei anjak kalimat ijo?,apakah arti dari kalimat ini ?
